year,date,title,author,level,google_drive_id,filename
2017-18,2017-09-18,Union Find,Justin Zhang and Daniel Wisdom,Advanced,0B84cCW3wbL7fWGVrTjZNVk1lM00,2017-09-18_Union_Find.pdf
2017-18,2017-09-29,Graph Theory Review,Mihir Patel,Beginner,0B84cCW3wbL7fMmRJZTBUN1liYzg,2017-09-29_Graph_Theory_Review.pdf
2017-18,2017-09-29,Advanced Graph Theory,Daniel Wisdom,Advanced,0B84cCW3wbL7fdVdKZWFNeFVZOTQ,2017-09-29_Advanced_Graph_Theory.pdf
2017-18,2017-10-06,Simple Range Queries,Justin Zhang,Beginner,0B_NuG53zAfg3eVRKTEVSbUFiSzQ,2017-10-06_Simple_Range_Queries.pdf
2017-18,2017-10-06,Line Sweep and Convex Hull,Mihir Patel,Advanced,0B_NuG53zAfg3NUx5eUFEWnBudzA,2017-10-06_Line_Sweep_and_Convex_Hull.pdf
2017-18,2017-10-20,Introduction to Dynamic Programming,Srinidhi Krishnamurthy,Beginner,0B_NuG53zAfg3a0xudDRURGpoQzA,2017-10-20_Introduction_to_Dynamic_Programming.pdf
2017-18,2017-10-27,More Dynamic Programming,Daniel Wisdom,Beginner,0B_NuG53zAfg3Qm9JSmFKOHV0TVk,2017-10-27_More_Dynamic_Programming.pdf
2017-18,2017-10-27,String Searching,Mihir Patel,Advanced,0B_NuG53zAfg3NnhlYU1LZnNocVk,2017-10-27_String_Searching.pdf
2017-18,2017-11-10,Binary Search,Daniel Wisdom,Beginner,17vrp0mnT8wpbvJWPzQ4H4z8Hm-8hWMr5,2017-11-10_Binary_Search.pdf
2017-18,2017-11-10,Binary Indexed Trees,Justin Zhang,Advanced,1QOXxwio_GGVszcwR4_avYfBeko42av8b,2017-11-10_Binary_Indexed_Trees.pdf
2017-18,2017-12-01,Lowest Common Ancestor,Daniel Wisdom,Advanced,1Txvxp6cCPl2O7ta99KZDWDvLjgrF1FWA,2017-12-01_Lowest_Common_Ancestor.pdf
2017-18,2017-12-08,Segment Trees,Justin Zhang,Advanced,1HziMoB0l0VwByTkRXzAVN8OfLkiv_Mqg,2017-12-08_Segment_Trees.pdf
2017-18,2017-12-15,Beginner Contest Prep,Srinidhi Krishnamurthy,Beginner,1S6ZLfYoJj2GteOb9AlQCmkLQ2FVOeNUh,2017-12-15_Beginner_Contest_Prep.pdf
2017-18,2017-12-15,Advanced Contest Prep,Daniel Wisdom,Advanced,1B-Pys9JMtVXqw_vr0DNac-u5aRERTIs2,2017-12-15_Advanced_Contest_Prep.pdf
2017-18,2018-01-12,December USACO Bronze/Silver Contest Review,Mihir Patel,Beginner,1T9RSFIWZqraoz2AuPd9h5KRIAEbh4IzF,2018-01-12_December_USACO_Bronze_Silver_Contest_Review.pdf
2017-18,2018-01-12,December USACO Gold/Platinum Contest Review,Justin Zhang,Advanced,1nliw3LI0vyPMs-wWkc46cKGvbREJm7gY,2018-01-12_December_USACO_Gold_Platinum_Contest_Review.pdf
2017-18,2018-01-12,USACO January Bronze/Silver Post-Contest Explanations,Srinidhi Krishnamurthy,,,USACO_January_Bronze_Silver_Post_Contest.pdf
2017-18,2018-01-19,Suffix Arrays and Longest Common Prefix,Daniel Wisdom,Advanced,1G54Uog5mAUU0STH99m5Jx9LD2QEFSphW,2018-01-19_Suffix_Arrays_and_Longest_Common_Prefix.pdf
2017-18,2018-02-09,January USACO Gold/Plat Contest Review (√N decomposition),Justin Zhang and Daniel Wisdom,Advanced,1NVxIezUfTQ5E6fSDW9LpuZtVkpc-Yerf,2018-02-09_USACO_Gold_Plat_January_Contest_Review_(square-root_decomposition).pdf
2017-18,2018-02-16,Treaps,Justin Zhang,Advanced,1bkR1tD0NQUmOHpbqC4h_0Kzdyy75-5xy,2018-02-16_Treaps.pdf
2017-18,2018-02-23,Strongly Connected Components and Biconnected Components,Daniel Wisdom,Advanced,1GDAcfYe8JvRTqTIZ4X_hiIgfJ8JDex0I,2018-02-23_Strongly_Connected_Components_and_Biconnected_Components.pdf
